Uplink,ACK,Value
12500,1,0.38207074650123357
12500,3,0.725228717747782
6250,3,0.38667558884784636
50000,15,1.8649938707753517
50000,63,1.86532242551502
100000,31,1.8653647111858407
6250,1,0.19857051294073003
50000,1,1.270717549491801
25000,15,1.8646956143395095
50000,31,1.8652161157262974
100000,63,1.8654710379144035
6250,7,0.7264955971339749
3125,3,0.20006499333602962
3125,7,0.38720497300253665
50000,7,1.864520568963631
25000,3,1.2863390789812192
12500,31,1.8643202125325042
100000,7,1.8646618099132672
100000,1,1.8613970172405436
6250,63,1.8632334864462705
6250,15,1.2954241839502343
50000,3,1.863490278468858
100000,3,1.863638599061451
12500,7,1.2939859755283887
3125,31,1.2955284924051893
25000,7,1.8642164303491842
6250,31,1.8631274146260677
12500,15,1.8640981810155837
25000,31,1.864917788207503
3125,1,0.10113218890088274
25000,63,1.8650240639910478
12500,63,1.8644264202171148
25000,1,0.7144519235873822
3125,15,0.7270757191296398
100000,15,1.8651424308245874
3125,63,1.8608509904185557
